"id";"name";"about";"thumbnail";"rating";"review";"ranking";"open_hour";"duration";"review_detail"
11;"Chaozhou Hall (Trieu Chau)";"AboutAnother of the twenty assembly halls in Hoi An. Though it has some attractive detail, this assembly hall isn’t as elaborate as the Cantonese or Fukian.";"https://media-cdn.tripadvisor.com/media/photo-w/17/3e/4e/5b/trieu-chau-assembly-hall.jpg";4.0;99;"#23 of 98 things to do in Hoi An";"undefined";"undefined";"22;18;8;1;0"
12;"Old House of Tan Ky";"AboutThis beautiful private home, built around an open courtyard and filled with antiques, is over two hundred years old.As featured in Guide to Hoi An for Families";"https://media-cdn.tripadvisor.com/media/photo-w/0d/73/cd/fd/caption.jpg";4.0;988;"#24 of 98 things to do in Hoi An";"undefined";"undefined";"155;267;173;47;15"
13;"Japanese Covered Bridge";"AboutA local favorite, construction on this covered bridge began in the Year of the Monkey (1593) and was finished in the Year of the Dog (1595), hence the monkey and dog sculptures at either end.Suggested duration: < 1 hourAs featured in 3 Days in Hoi An";"https://media-cdn.tripadvisor.com/media/photo-w/0b/45/4c/69/photo1jpg.jpg";4.0;8;"#25 of 98 things to do in Hoi An";"undefined";"undefined";"1,521;2,053;1,664;312;138"
14;"The Old House of Phun Hung";"AboutAnother interesting Hoi An home, this one is constructed using eighty columns; the roof is traditional convex and concave interlocking tiles known as Yin and Yang style.As featured in 3 Days in Hoi An";"https://media-cdn.tripadvisor.com/media/photo-s/02/35/9d/bf/house-of-phung-hung.jpg";3.5;457;"#28 of 98 things to do in Hoi An";"undefined";"undefined";"52;114;50;24;5"
15;"Thanh Ha Pottery Village";"";"https://media-cdn.tripadvisor.com/media/photo-w/12/22/13/6e/mass-pots.jpg";3.5;317;"#30 of 98 things to do in Hoi An";"undefined";"undefined";"54;97;62;24;9"
16;"Hoi An Cathedral";"";"https://media-cdn.tripadvisor.com/media/photo-w/0c/87/5e/61/caption.jpg";4.5;48;"#32 of 98 things to do in Hoi An";"undefined";"undefined";"14;13;2;1;0"
17;"Duc An Old House";"AboutSuggested duration: More than 3 hours";"https://media-cdn.tripadvisor.com/media/photo-w/14/b7/ea/41/well-preserved-chairs.jpg";3.5;101;"#33 of 98 things to do in Hoi An";"undefined";"undefined";"13;25;23;6;1"
18;"March Gallery";"AboutBridget March is an English artist and writer working in Vietnam for 5 years producing paintings, etchings, drawings and books about the urban landscape, history and culture of this beautiful land. We also have original art by other renowned...moreClosed NowHours Today: 10:00 AM - 6:00 PMSee all hoursSuggested duration: < 1 hour";"https://media-cdn.tripadvisor.com/media/photo-w/19/55/1d/e9/march-gallery-at-42-phan.jpg";5.0;32;"#8 of 34 Museums in Hoi An";"undefined";"undefined";"22;3;0;0;0"
19;"Chua Phap Bao Pagoda";"About";"https://media-cdn.tripadvisor.com/media/photo-o/08/bf/6d/e8/chua-phap-bao-pagoda.jpg";4.0;32;"#38 of 98 things to do in Hoi An";"undefined";"undefined";"6;7;1;0;1"
20;"Victoria Hoi An Sidecar";"AboutExperience Central Vietnam from the unique perspective of our classic Ural Russian Sidecar Motorcycles, the perfect vantage point from which to immerse yourself in the real Indochina, stopping wherever and whenever for the perfect photo op.

There...moreClosed NowHours Today: 8:00 AM - 4:00 PMSee all hoursSuggested duration: More than 3 hours";"https://media-cdn.tripadvisor.com/media/photo-w/11/8a/2b/dd/victoria-hoi-an-sidecar.jpg";4.5;17;"#8 of 12 Nature & Parks in Hoi An";"undefined";"undefined";"14;1;0;0;0"
21;"Ancient House";"AboutWelcome to our family home as we invite you to walk through time to ancient Vietnam. Step off the street & into our oriental garden, passing the original water well & into the main building with its yin-yang roof & exquisite carvings. More than 250...moreSuggested duration: < 1 hour";"https://media-cdn.tripadvisor.com/media/photo-w/12/a5/47/7f/getlstd-property-photo.jpg";4.0;17;"#42 of 98 things to do in Hoi An";"undefined";"undefined";"8;2;3;0;1"
22;"Quan Thang Ancient House";"";"https://media-cdn.tripadvisor.com/media/photo-w/07/c2/6c/8d/nha-co-quan-thang.jpg";3.5;59;"#43 of 98 things to do in Hoi An";"undefined";"undefined";"6;10;9;2;2"
23;"Chuc Thanh Pagoda";"AboutSuggested duration: < 1 hour";"https://media-cdn.tripadvisor.com/media/photo-w/13/44/5c/3f/hoi-an-pagoda-di-chuc.jpg";4.5;10;"#45 of 98 things to do in Hoi An";"undefined";"undefined";"4;1;0;0;0"
24;"Hoa Van Le Nghia";"AboutSuggested duration: < 1 hour";"https://media-cdn.tripadvisor.com/media/photo-w/0d/1f/5c/2d/interior.jpg";3.5;27;"#51 of 98 things to do in Hoi An";"undefined";"undefined";"1;6;3;0;1"
25;"Hoi An Post Office";"AboutPost Office Tran Hung Dao provides packing and shipping services to desitnations all over the world. Located just off Tran Hung Dao in the same alley as Ba Le Well. (47 /8 Tran Hung Dao) Bring us your items and we will take care of the rest! We pack...moreSuggested duration: < 1 hour";"https://media-cdn.tripadvisor.com/media/photo-w/0e/f4/a6/c8/hoi-an-post-office.jpg";4.0;14;"#52 of 98 things to do in Hoi An";"undefined";"undefined";"3;1;2;0;1"
